# citation=Milloy et al., Aust. J. Phys. 28, 231 (1975); Shimamori and Hatano, Chem. Phys. 12, 439 (1976); Hegerberg and Reid, Aust. J. Phys. 33, 227 (1980); Morrow and Lowke, J. Phys. D 30, 614 (1997); de Urquijo et al., J. Phys. D 57, 125205 (2024); Dutton, J. Phys. Chem. Ref. Data 4, 577 (1975)
# gas=dry air (0% H2O); measurement_temperature_K=293..300
# valid_en_td=0.000001..100; interpolation=positive log-linear plus nonnegative two-body onset; below_range=hold zero-field asymptote; above_range=forbidden
en_td,flux_drift_velocity_m_per_s,reduced_flux_mobility_ref_m2_per_v_s,longitudinal_diffusion_ref_m2_per_s,transverse_diffusion_ref_m2_per_s,eta_over_n2_cm5,three_body_rate_cm6_per_s,three_body_frequency_ref_s,eta_over_n_cm2,two_body_rate_cm3_per_s,two_body_frequency_ref_s,relative_uncertainty_mobility,relative_uncertainty_three_body,relative_uncertainty_two_body,source_row
14.0,25300.0,0.06726004381207598,0.028435313383951173,0.06591090484962306,7.07e-39,1.78871e-32,12912508.3160304,0.0,0.0,0.0,0.015,0.1,0.2,table2_printed__table5_printed__table3_printed__dutton2p19_interpolated
14.9,26437.1853798724,0.06603795383413717,0.02871163165676278,0.06603795383413717,6.725929530435511e-39,1.7781464584808173e-32,12836251.227003573,0.0,0.0,0.0,0.015,0.1,0.2,table2_interpolated__table5_interpolated__table3_interpolated__dutton2p19_printed
15.0,26562.273008098407,0.06590807654235127,0.028741456530919057,0.06601343183818535,6.69e-39,1.7770160642417833e-32,12828091.03054248,0.0,0.0,0.0,0.015,0.1,0.2,table2_interpolated__table5_printed__table3_interpolated__dutton2p19_interpolated
16.0,27800.0,0.0646680065505434,0.02903081732916481,0.06577729929523685,6.809999999999999e-39,1.8931799999999997e-32,13666666.197283199,0.0,0.0,0.0,0.015,0.1,0.2,table2_printed__table5_printed__table3_printed__dutton2p19_interpolated
17.0,29010.48771117418,0.0635141907521175,0.028780758805834826,0.06554571995085164,5.639999999999999e-39,1.6361915069102236e-32,11811493.444771135,0.0,0.0,0.0,0.015,0.1,0.2,table2_interpolated__table5_printed__table3_interpolated__dutton2p19_interpolated
18.0,30200.0,0.06244520536615222,0.02854697037367872,0.06532812790850565,5.79e-39,1.7485799999999998e-32,12622814.0901792,0.0,0.0,0.0,0.015,0.1,0.2,table2_printed__table5_printed__table3_printed__dutton2p19_interpolated
20.0,32600.0,0.06066696441863927,0.02869584635998214,0.0650848138306366,5.08e-39,1.65608e-32,11955066.372979201,0.0,0.0,0.0,0.015,0.1,0.2,table2_printed__table5_printed__table3_printed__dutton2p19_interpolated
23.0,36100.0,0.05841764245166385,0.022889682894149176,0.06479854811090988,4.5099999999999995e-39,1.6281099999999998e-32,11753153.9010864,0.0,0.0,0.0,0.015,0.1,0.2,table2_printed__table5_printed__table3_printed__dutton2p19_interpolated
26.0,39400.0,0.056401094811099284,0.020507667113294624,0.06442035468793435,4.1599999999999996e-39,1.6390399999999998e-32,11832056.4151296,0.0,0.0,0.0,0.015,0.1,0.2,table2_printed__table5_printed__table3_printed__dutton2p19_interpolated
29.8,43488.92625861309,0.054315912668013916,0.025482692127159444,0.06409277694825642,3.5668060494458316e-39,1.5511656526312486e-32,11197700.795065563,0.0,0.0,0.0,0.015,0.1,0.2,table2_interpolated__table5_interpolated__table3_interpolated__dutton2p19_printed
30.0,43700.0,0.05421567167882488,0.025755545630489804,0.06409292977554051,3.5399999999999996e-39,1.54698e-32,11167485.0113952,0.0,0.0,0.0,0.015,0.1,0.2,table2_printed__table5_printed__table3_printed__dutton2p19_interpolated
33.0,46800.0,0.05278330423484511,0.021549799017418495,0.06406599346964056,2.6096036080824864e-39,1.2212944885826037e-32,8816395.748972705,0.0,0.0,0.0,0.015,0.2,0.2,de_urquijo_table2_table3__dutton2p19__morrow_a4_a5
