model,datetime_utc,latitude_deg_N,longitude_deg_E,f107a,f107_previous_day,ap,altitude_km_MSL,temperature_K,neutral_number_density_cm3,neutral_number_density_ratio_to_sea_level,mass_density_g_cm3,mass_density_ratio_to_sea_level,RREA_Eth_abs_kV_per_m,RREA_Eth_negative_kV_per_m,RREA_Eth_positive_kV_per_m
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,2.45,285.75773148664086,1.9402199480888406e+19,0.7845249633421383,0.0009324173028531661,0.7845249633421382,222.80508958916727,-222.80508958916727,222.80508958916727
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,2.5,285.496899693441,1.9304477698804257e+19,0.780573598055805,0.0009277210579469811,0.780573598055805,221.6829018478486,-221.6829018478486,221.6829018478486
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,2.55,285.2356646945459,1.9207188336840606e+19,0.7766397176107918,0.0009230455939838459,0.7766397176107916,220.56567980146485,-220.56567980146485,220.56567980146485
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,2.6,284.97401229152814,1.9110330523405505e+19,0.7727232867644116,0.000918390869077406,0.7727232867644117,219.4534134410929,-219.4534134410929,219.4534134410929
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,2.65,284.7119284124122,1.9013903365094277e+19,0.7688242693919833,0.0009137568402930449,0.7688242693919833,218.34609250732328,-218.34609250732328,218.34609250732328
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,2.7,284.44939911179637,1.8917905947125285e+19,0.7649426285044516,0.0009091434636688284,0.7649426285044516,217.24370649526426,-217.24370649526426,217.24370649526426
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,2.75,284.18641057098597,1.882233733377075e+19,0.7610783262658071,0.0009045506942362067,0.761078326265807,216.1462446594892,-216.1462446594892,216.1462446594892
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,2.8,283.9229490981355,1.872719656878272e+19,0.7572313240103102,0.0008999784860404857,0.7572313240103099,215.0536960189281,-215.0536960189281,215.0536960189281
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,2.85,283.6590011284025,1.8632482675814162e+19,0.7534015822595184,0.0008954267921610649,0.7534015822595184,213.96604936170323,-213.96604936170323,213.96604936170323
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,2.9,283.39455322410873,1.8538194658835292e+19,0.7495890607391199,0.0008908955647314421,0.7495890607391198,212.88329324991005,-212.88329324991005,212.88329324991005
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,2.95,283.1295920749128,1.8444331502545052e+19,0.7457937183955721,0.0008863847549589914,0.745793718395572,211.80541602434246,-211.80541602434246,211.80541602434246
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,3.0,282.8641044979899,1.8350892172778037e+19,0.7420155134125551,0.0008818943131445164,0.7420155134125551,210.73240580916564,-210.73240580916564,210.73240580916564
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,3.05,282.598077438221,1.8257875616906535e+19,0.7382544032272288,0.0008774241887015723,0.7382544032272288,209.66425051653297,-209.66425051653297,209.66425051653297
